OFFENSE_CODE,YEAR,MONTH
2403,2018,10
2647,2018,10
413,2018,10
3122,2018,10
1402,2018,10
3803,2018,10
3301,2018,10
802,2018,10
3410,2018,10
3803,2018,10
706,2018,10
3006,2018,10
3115,2018,10
3006,2018,10
3831,2018,10
2647,2018,10
2647,2018,10
3115,2018,10
3108,2018,10
3831,2018,10
613,2018,10
3114,2018,10
3301,2018,10
619,2018,10
311,2018,10
1842,2018,10
3006,2018,10
3006,2018,10
2647,2018,10
802,2018,10
2900,2018,10
2905,2018,10
2646,2018,10
1402,2018,10
1402,2018,10
3114,2018,10
3114,2018,10
1107,2018,10
3114,2018,10
2646,2018,10
1849,2018,10
724,2018,10
724,2018,10
613,2018,10
3301,2018,10
3115,2018,10
3125,2018,10
1402,2018,10
3201,2018,10
802,2018,10
619,2018,10
724,2018,10
3115,2018,10
3115,2018,10
724,2018,10
616,2018,10
3115,2018,10
3125,2018,10
1300,2018,10
2646,2018,10
3114,2018,10
1402,2018,10
619,2018,10
3831,2018,10
3115,2018,10
3831,2018,10
613,2018,10
3201,2018,10
520,2018,10
724,2018,10
3820,2018,10
3007,2018,10
3006,2018,10
413,2018,10
619,2018,10
1849,2018,10
2007,2018,10
3207,2018,10
3115,2018,10
3501,2018,10
3006,2018,10
3831,2018,10
1402,2018,10
2629,2018,10
619,2018,10
802,2018,10
3501,2018,10
1830,2018,10
3006,2018,10
1106,2018,10
3801,2018,10
3125,2018,10
1843,2018,10
3208,2018,10
2647,2018,10
613,2018,10
619,2018,10
2660,2018,10
2662,2018,10
2647,2018,10
1102,2018,10
1849,2018,10
3207,2018,10
2662,2018,10
2007,2018,10
3802,2018,10
612,2018,10
801,2018,10
1402,2018,10
3207,2018,10
1402,2018,10
3125,2018,10
3125,2018,10
2906,2018,10
2907,2018,10
2629,2018,10
3410,2018,10
1842,2018,10
3108,2018,10
3160,2018,10
614,2018,10
614,2018,10
3201,2018,10
1841,2018,10
1402,2018,10
1842,2018,10
3115,2018,10
1402,2018,10
613,2018,10
3114,2018,10
613,2018,10
2010,2018,10
3410,2018,10
1402,2018,10
1402,2018,10
413,2018,10
3125,2018,10
1402,2018,10
1402,2018,10
3115,2018,10
1402,2018,10
3115,2018,10
3201,2018,10
3820,2018,10
614,2018,10
3830,2018,10
619,2018,10
614,2018,10
3115,2018,10
1402,2018,10
2629,2018,10
3801,2018,10
3301,2018,10
1402,2018,10
3831,2018,10
3115,2018,10
2647,2018,10
2401,2018,10
3805,2018,10
2610,2018,10
1402,2018,10
3410,2018,10
3112,2018,10
3301,2018,10
2405,2018,10
3102,2018,10
1846,2018,10
3115,2018,10
1844,2018,10
2647,2018,10
614,2018,10
1402,2018,10
615,2018,10
1503,2018,10
1841,2018,10
1842,2018,10
2647,2018,10
3125,2018,10
1402,2018,10
3301,2018,10
3115,2018,10
617,2018,10
3006,2018,10
3410,2018,10
1402,2018,10
3125,2018,10
2647,2018,10
3820,2018,10
3160,2018,10
3802,2018,10
423,2018,10
1503,2018,10
614,2018,10
3115,2018,10
801,2018,10
2642,2018,10
802,2018,10
3301,2018,10
3831,2018,10
413,2018,10
1402,2018,10
1402,2018,10
1402,2018,10
2647,2018,10
1402,2018,10
1402,2018,10
1402,2018,10
615,2018,10
3125,2018,10
1402,2018,10
614,2018,10
2629,2018,10
1402,2018,10
3831,2018,10
615,2018,10
3006,2018,10
3207,2018,10
614,2018,10
1402,2018,10
2629,2018,10
3201,2018,10
423,2018,10
2647,2018,10
3301,2018,10
3803,2018,10
3201,2018,10
1402,2018,10
423,2018,10
614,2018,10
3301,2018,10
802,2018,10
413,2018,10
619,2018,10
724,2018,10
413,2018,10
1402,2018,10
2647,2018,10
3170,2018,10
3831,2018,10
3301,2018,10
2662,2018,10
413,2018,10
3801,2018,10
3830,2018,10
3115,2018,10
3301,2018,10
413,2018,10
2622,2018,10
3115,2018,10
3301,2018,10
2647,2018,10
3831,2018,10
802,2018,10
3501,2018,10
3301,2018,10
3008,2018,10
3802,2018,10
3115,2018,10
3410,2018,10
3301,2018,10
3831,2018,10
3410,2018,10
3001,2018,10
3115,2018,10
3831,2018,10
3006,2018,10
3831,2018,10
802,2018,10
3301,2018,10
1304,2018,10
3831,2018,10
423,2018,10
619,2018,10
3006,2018,10
3108,2018,10
3501,2018,10
3502,2018,10
3115,2018,10
423,2018,10
3301,2018,10
1810,2018,10
1810,2018,10
3006,2018,10
613,2018,10
3006,2018,10
616,2018,10
3802,2018,10
3810,2018,10
413,2018,10
802,2018,10
613,2018,10
3301,2018,10
3820,2018,10
3008,2018,10
3802,2018,10
2662,2018,10
2905,2018,10
2906,2018,10
2619,2018,10
1832,2018,10
2629,2018,10
3201,2018,10
1810,2018,10
3125,2018,10
3006,2018,10
3811,2018,10
3301,2018,10
3410,2018,10
3831,2018,10
3006,2018,10
3114,2018,10
3831,2018,10
2647,2018,10
3801,2018,10
2629,2018,10
614,2018,10
3410,2018,10
802,2018,10
301,2018,10
2610,2018,10
3801,2018,10
3810,2018,10
3803,2018,10
1842,2018,10
1842,2018,10
3201,2018,10
1842,2018,10
3802,2018,10
3820,2018,10
1849,2018,10
2647,2018,10
3801,2018,10
619,2018,10
802,2018,10
613,2018,10
3114,2018,10
735,2018,10
1402,2018,10
3006,2018,10
423,2018,10
413,2018,10
613,2018,10
3125,2018,10
1402,2018,10
3115,2018,10
3006,2018,10
3503,2018,10
3301,2018,10
3006,2018,10
3006,2018,10
1874,2018,10
423,2018,10
2662,2018,10
617,2018,10
1402,2018,10
1402,2018,10
706,2018,10
3125,2018,10
619,2018,10
802,2018,10
3207,2018,10
613,2018,10
614,2018,10
2647,2018,10
3115,2018,10
614,2018,10
3831,2018,10
3301,2018,10
520,2018,10
3201,2018,10
3002,2018,10
3170,2018,10
3410,2018,10
3802,2018,10
522,2018,10
613,2018,10
3160,2018,10
3115,2018,10
614,2018,10
613,2018,10
3831,2018,10
3115,2018,10
2629,2018,10
3810,2018,10
3820,2018,10
3801,2018,10
3501,2018,10
2905,2018,10
2914,2018,10
3006,2018,10
617,2018,10
3207,2018,10
613,2018,10
522,2018,10
617,2018,10
3301,2018,10
3006,2018,10
1402,2018,10
3115,2018,10
3410,2018,10
2610,2018,10
3115,2018,10
3831,2018,10
735,2018,10
2629,2018,10
3831,2018,10
3410,2018,10
3807,2018,10
2905,2018,10
735,2018,10
614,2018,10
3410,2018,10
3006,2018,10
3006,2018,10
1402,2018,10
3802,2018,10
1402,2018,10
3301,2018,10
3807,2018,10
3301,2018,10
3301,2018,10
3006,2018,10
802,2018,10
3410,2018,10
1402,2018,10
3803,2018,10
3106,2018,10
802,2018,10
616,2018,10
301,2018,10
3115,2018,10
3207,2018,10
3115,2018,10
614,2018,10
1402,2018,10
3301,2018,10
1415,2018,10
1102,2018,10
3301,2018,10
301,2018,10
3810,2018,10
3801,2018,10
522,2018,10
301,2018,10
381,2018,10
3410,2018,10
3006,2018,10
301,2018,10
3301,2018,10
3006,2018,10
3410,2018,10
3006,2018,10
3301,2018,10
562,2018,10
1300,2018,10
3125,2018,10
3503,2018,10
617,2018,10
802,2018,10
423,2018,10
2647,2018,10
802,2018,10
802,2018,10
616,2018,10
3201,2018,10
3301,2018,10
1102,2018,10
3831,2018,10
1849,2018,10
2907,2018,10
1503,2018,10
2647,2018,10
3114,2018,10
802,2018,10
1402,2018,10
3114,2018,10
3108,2018,10
2101,2018,10
2900,2018,10
3831,2018,10
3811,2018,10
3007,2018,10
3410,2018,10
3006,2018,10
3208,2018,10
3831,2018,10
3115,2018,10
2006,2018,10
802,2018,10
311,2018,10
1501,2018,10
801,2018,10
613,2018,10
3802,2018,10
2647,2018,10
1402,2018,10
619,2018,10
3201,2018,10
2660,2018,10
413,2018,10
1503,2018,10
1848,2018,10
361,2018,10
2610,2018,10
3831,2018,10
3831,2018,10
3820,2018,10
3831,2018,10
3115,2018,10
3114,2018,10
2647,2018,10
2610,2018,10
3301,2018,10
3170,2018,10
617,2018,10
1810,2018,10
1843,2018,10
3301,2018,10
520,2018,10
2647,2018,10
413,2018,10
3007,2018,10
3805,2018,10
616,2018,10
617,2018,10
3202,2018,10
613,2018,10
3205,2018,10
3115,2018,10
413,2018,10
3115,2018,10
1810,2018,10
1849,2018,10
3301,2018,10
3831,2018,10
802,2018,10
3115,2018,10
3201,2018,10
1402,2018,10
617,2018,10
3410,2018,10
2647,2018,10
3803,2018,10
3006,2018,10
1848,2018,10
1845,2018,10
3410,2018,10
3802,2018,10
301,2018,10
3831,2018,10
3803,2018,10
3831,2018,10
3006,2018,10
802,2018,10
1106,2018,10
3006,2018,10
3831,2018,10
3208,2018,10
413,2018,10
1402,2018,10
3006,2018,10
3831,2018,10
3301,2018,10
3301,2018,10
3115,2018,10
1510,2018,10
2907,2018,10
520,2018,10
413,2018,10
3114,2018,10
3410,2018,10
3007,2018,10
3115,2018,10
802,2018,10
616,2018,10
3410,2018,10
3802,2018,10
3301,2018,10
2007,2018,10
3115,2018,10
3831,2018,10
3006,2018,10
2647,2018,10
801,2018,10
1402,2018,10
3115,2018,10
3112,2018,10
3801,2018,10
423,2018,10
1831,2018,10
2647,2018,10
619,2018,10
1503,2018,10
1842,2018,10
2405,2018,10
2610,2018,10
1825,2018,10
802,2018,10
413,2018,10
3201,2018,10
3802,2018,10
3811,2018,10
613,2018,10
3109,2018,10
613,2018,10
3831,2018,10
3803,2018,10
3410,2018,10
3207,2018,10
3301,2018,10
413,2018,10
3301,2018,10
3108,2018,10
619,2018,10
2900,2018,10
2906,2018,10
3112,2018,10
3108,2018,10
3125,2018,10
1830,2018,10
3201,2018,10
3006,2018,10
3115,2018,10
1107,2018,10
3410,2018,10
3115,2018,10
3410,2018,10
3201,2018,10
3501,2018,10
3410,2018,10
3006,2018,10
3301,2018,10
3410,2018,10
1501,2018,10
3301,2018,10
3410,2018,10
613,2018,10
619,2018,10
3301,2018,10
802,2018,10
2647,2018,10
2900,2018,10
3410,2018,10
301,2018,10
3410,2018,10
3114,2018,10
1842,2018,10
1849,2018,10
2610,2018,10
3125,2018,10
3410,2018,10
1402,2018,10
724,2018,10
3801,2018,10
3109,2018,10
801,2018,10
3301,2018,10
802,2018,10
3410,2018,10
3109,2018,10
3801,2018,10
3831,2018,10
900,2018,10
1402,2018,10
3410,2018,10
3802,2018,10
3115,2018,10
3006,2018,10
3115,2018,10
3820,2018,10
3831,2018,10
3301,2018,10
2610,2018,10
3802,2018,10
3006,2018,10
3006,2018,10
3006,2018,10
3801,2018,10
1402,2018,10
3006,2018,10
3006,2018,10
2905,2018,10
3018,2018,10
2610,2018,10
3125,2018,10
2647,2018,10
3125,2018,10
3125,2018,10
423,2018,10
